ID,Origin,Description,Parameter,Data Type,Polling Interval,Retention Time,Status,Thresholds,Template,Related Object
3295,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,265,22726: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,265,22726')",String,default,default,Active,,testhost2,
3294,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,266,22727: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,266,22727')",String,default,default,Active,,testhost2,
3293,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,267,22728: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,267,22728')",String,default,default,Active,,testhost2,
3292,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,268,22729: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,268,22729')",String,default,default,Active,,testhost2,
3291,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,269,22730: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,269,22730')",String,default,default,Active,,testhost2,
3289,NetXMS Agent,"Enduro/X queue /test1,svc,.TMIB-1-10: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,svc,.TMIB-1-10')",String,default,default,Active,,testhost2,
3288,NetXMS Agent,"Enduro/X queue /test1,svc,.TMIB-1-11: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,svc,.TMIB-1-11')",String,default,default,Active,,testhost2,
3290,NetXMS Agent,"Enduro/X queue /test1,svc,.TMIB: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,svc,.TMIB')",String,default,default,Active,,testhost2,
3287,NetXMS Agent,"Enduro/X queue /test1,svc,@CCONF: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,svc,@CCONF')",String,default,default,Active,,testhost2,
3286,NetXMS Agent,"Enduro/X queue /test1,svc,@CPMSVC: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,svc,@CPMSVC')",String,default,default,Active,,testhost2,
3285,NetXMS Agent,"Enduro/X queue /test1,svc,CREDIT: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,svc,CREDIT')",String,default,default,Active,,testhost2,
3284,NetXMS Agent,"Enduro/X queue /test1,svc,DEBIT: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,svc,DEBIT')",String,default,default,Active,,testhost2,
3283,NetXMS Agent,"Enduro/X queue /test1,svc,HANDLER: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,svc,HANDLER')",String,default,default,Active,,testhost2,
3282,NetXMS Agent,"Enduro/X queue /test1,sys,bg,ndrxd: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,sys,bg,ndrxd')",String,default,default,Active,,testhost2,
734,NetXMS Agent,Enduro/X queue {instance}: current requests queued,EnduroX.Queue.RequestsCurrent('{instance}'),String,default,default,Active,,,
2940,NetXMS Agent,"Enduro/X server instance 0,100: state","EnduroX.ServerInstance.State(0,100)",String,default,default,Active,,testhost2,
2941,NetXMS Agent,"Enduro/X server instance 0,101: state","EnduroX.ServerInstance.State(0,101)",String,default,default,Active,,testhost2,
2942,NetXMS Agent,"Enduro/X server instance 0,102: state","EnduroX.ServerInstance.State(0,102)",String,default,default,Active,,testhost2,
2943,NetXMS Agent,"Enduro/X server instance 0,103: state","EnduroX.ServerInstance.State(0,103)",String,default,default,Active,,testhost2,
2944,NetXMS Agent,"Enduro/X server instance 0,104: state","EnduroX.ServerInstance.State(0,104)",String,default,default,Active,,testhost2,
2945,NetXMS Agent,"Enduro/X server instance 0,105: state","EnduroX.ServerInstance.State(0,105)",String,default,default,Active,,testhost2,
2946,NetXMS Agent,"Enduro/X server instance 0,106: state","EnduroX.ServerInstance.State(0,106)",String,default,default,Active,,testhost2,
2947,NetXMS Agent,"Enduro/X server instance 0,107: state","EnduroX.ServerInstance.State(0,107)",String,default,default,Active,,testhost2,
2948,NetXMS Agent,"Enduro/X server instance 0,108: state","EnduroX.ServerInstance.State(0,108)",String,default,default,Active,,testhost2,
2949,NetXMS Agent,"Enduro/X server instance 0,109: state","EnduroX.ServerInstance.State(0,109)",String,default,default,Active,,testhost2,
957,NetXMS Agent,"Enduro/X server instance 0,10: state","EnduroX.ServerInstance.State(0,10)",String,default,default,Active,,testhost2,
2950,NetXMS Agent,"Enduro/X server instance 0,110: state","EnduroX.ServerInstance.State(0,110)",String,default,default,Active,,testhost2,
2951,NetXMS Agent,"Enduro/X server instance 0,111: state","EnduroX.ServerInstance.State(0,111)",String,default,default,Active,,testhost2,
2952,NetXMS Agent,"Enduro/X server instance 0,112: state","EnduroX.ServerInstance.State(0,112)",String,default,default,Active,,testhost2,
2953,NetXMS Agent,"Enduro/X server instance 0,113: state","EnduroX.ServerInstance.State(0,113)",String,default,default,Active,,testhost2,
2954,NetXMS Agent,"Enduro/X server instance 0,114: state","EnduroX.ServerInstance.State(0,114)",String,default,default,Active,,testhost2,
2955,NetXMS Agent,"Enduro/X server instance 0,115: state","EnduroX.ServerInstance.State(0,115)",String,default,default,Active,,testhost2,
2956,NetXMS Agent,"Enduro/X server instance 0,116: state","EnduroX.ServerInstance.State(0,116)",String,default,default,Active,,testhost2,
2957,NetXMS Agent,"Enduro/X server instance 0,117: state","EnduroX.ServerInstance.State(0,117)",String,default,default,Active,,testhost2,
2958,NetXMS Agent,"Enduro/X server instance 0,118: state","EnduroX.ServerInstance.State(0,118)",String,default,default,Active,,testhost2,
2959,NetXMS Agent,"Enduro/X server instance 0,119: state","EnduroX.ServerInstance.State(0,119)",String,default,default,Active,,testhost2,
958,NetXMS Agent,"Enduro/X server instance 0,11: state","EnduroX.ServerInstance.State(0,11)",String,default,default,Active,,testhost2,
961,NetXMS Agent,"Enduro/X server instance 0,140: state","EnduroX.ServerInstance.State(0,140)",String,default,default,Active,,testhost2,
962,NetXMS Agent,"Enduro/X server instance 0,141: state","EnduroX.ServerInstance.State(0,141)",String,default,default,Active,,testhost2,
963,NetXMS Agent,"Enduro/X server instance 0,142: state","EnduroX.ServerInstance.State(0,142)",String,default,default,Active,,testhost2,
2960,NetXMS Agent,"Enduro/X server instance 0,143: state","EnduroX.ServerInstance.State(0,143)",String,default,default,Active,,testhost2,
2961,NetXMS Agent,"Enduro/X server instance 0,144: state","EnduroX.ServerInstance.State(0,144)",String,default,default,Active,,testhost2,
2962,NetXMS Agent,"Enduro/X server instance 0,145: state","EnduroX.ServerInstance.State(0,145)",String,default,default,Active,,testhost2,
2963,NetXMS Agent,"Enduro/X server instance 0,146: state","EnduroX.ServerInstance.State(0,146)",String,default,default,Active,,testhost2,
2964,NetXMS Agent,"Enduro/X server instance 0,147: state","EnduroX.ServerInstance.State(0,147)",String,default,default,Active,,testhost2,
2965,NetXMS Agent,"Enduro/X server instance 0,148: state","EnduroX.ServerInstance.State(0,148)",String,default,default,Active,,testhost2,
2966,NetXMS Agent,"Enduro/X server instance 0,149: state","EnduroX.ServerInstance.State(0,149)",String,default,default,Active,,testhost2,
2967,NetXMS Agent,"Enduro/X server instance 0,150: state","EnduroX.ServerInstance.State(0,150)",String,default,default,Active,,testhost2,
2968,NetXMS Agent,"Enduro/X server instance 0,151: state","EnduroX.ServerInstance.State(0,151)",String,default,default,Active,,testhost2,
2969,NetXMS Agent,"Enduro/X server instance 0,152: state","EnduroX.ServerInstance.State(0,152)",String,default,default,Active,,testhost2,
2970,NetXMS Agent,"Enduro/X server instance 0,153: state","EnduroX.ServerInstance.State(0,153)",String,default,default,Active,,testhost2,
2971,NetXMS Agent,"Enduro/X server instance 0,154: state","EnduroX.ServerInstance.State(0,154)",String,default,default,Active,,testhost2,
2972,NetXMS Agent,"Enduro/X server instance 0,155: state","EnduroX.ServerInstance.State(0,155)",String,default,default,Active,,testhost2,
2973,NetXMS Agent,"Enduro/X server instance 0,156: state","EnduroX.ServerInstance.State(0,156)",String,default,default,Active,,testhost2,
2974,NetXMS Agent,"Enduro/X server instance 0,157: state","EnduroX.ServerInstance.State(0,157)",String,default,default,Active,,testhost2,
2975,NetXMS Agent,"Enduro/X server instance 0,158: state","EnduroX.ServerInstance.State(0,158)",String,default,default,Active,,testhost2,
